starid,name,country,magnitude,constellation,date
HD 150077,Anatolіy Kramarchook ,Ukraine,7.23,Dra,1999-02-12
HD 159688,Kieran Harper,USA,9.81,Sco,1999-02-18
HD 160766,Monika Ackermann,Germany,9.1,Oph,1999-02-20
HD 107913,Leonie Lehmann,Austria,9.71,Cen,1999-02-21
HD 106982,Donatela Tovar,Spain,8.66,Cru,1999-03-03
HD 189926,Zenobia Maxim ,Romania,7.55,Sgr,1999-03-06
HD 183698,Mellie Bradtke ,USA,8.26,Tel,1999-03-13
HD 139542,Anastasia Golubeva,Russia,8.84,Lup,1999-03-15
HD 27932,Harriet Martin,USA,6.63,Cam,1999-03-16
HD 110646,Joshua Nankunda ,Nigeria,5.91,Vir,1999-03-17
HD 89178,Karolína Bláhová,Czech Republic,8.09,Car,1999-03-19
HD 8881,Charalampos Papakonstantinoe ,Greece,8.51,And,1999-03-20
HD 189174,Katja Nurminen,Finland,8.15,Pav,1999-03-21
HD 40810,Azhar Panchal ,India,7.59,Dor,1999-03-22
HD 213719,Veronika Vinković ,Croatia,8.34,Lac,1999-03-23
HD 1850,Cecilia Hinojosa,Spain,9.59,Psc,1999-03-26
HD 183775,Abbie Waters,USA,8.07,Sge,1999-03-28
HD 204087,Amelie Goddard,USA,7.09,Cep,1999-03-29
HD 93163,Patricia Mugisa ,Nigeria,5.74,Car,1999-03-31
HD 136988,Tania Vanegas,Spain,8.74,Lup,1999-04-01
HD 69051,Clodovea Lugo,Spain,6.97,Car,1999-04-03
HD 200008,Talia Riyanti ,Indonesia,7.12,Mic,1999-04-04
HD 65156,Eduarda Correia,Brazil,8.64,Lyn,1999-04-06
HD 800,Madeleine Cox,USA,6.5,And,1999-04-07
HD 116754,Karolina van Sluijs,South Africa,8.57,Com,1999-04-09
HD 115782,Jasmine May,USA,7.19,Com,1999-04-12
HD 79400,Michelle Bar,Austria,8.67,Vel,1999-04-16
HD 146436,Febo Arévalo,Argentina,6.4,Sco,1999-04-18
HD 95835,Minhui Gwon ,South Korea,8.58,Hya,1999-04-19
HD 120727,Natasha Phillips,USA,8.55,Vir,1999-04-22
HD 81438,Seonjeong Eom ,South Korea,9.05,UMa,1999-04-25
HD 26907,John Kalita ,India,7.09,Per,1999-05-02
HD 19627,Audrey Joubert ,France,7.53,Per,1999-05-04
HD 63976,Katherine Villagómez,Uruguay,6.83,Mon,1999-05-08
HD 217572,Junhyeong Baek ,South Korea,7.69,Aqr,1999-05-10
HD 196131,Lakshmi Manda ,India,8.02,Cep,1999-05-19
HD 144169,Sheridan Goldner ,USA,7.68,Ser,1999-05-24
HD 285830,Kuan-Yin K'ung,China,9.48,Tau,1999-05-27
HD 212669,Bahiyy al Din Maroun,Bangladesh,7.85,Lac,1999-05-31
HD 206586,Yue Wan Chang,China,7.96,Cyg,1999-06-03
HD 157699,Ona Glover ,USA,8.32,Ara,1999-06-08
HD 30273,Marie Eichenberger ,Switzerland,9.85,Cae,1999-06-10
HD 42299,Hua Lo,China,7.66,Ori,1999-06-17
HD 65478,Paige Lampron,Canada,8.92,Mon,1999-06-18
HD 151623,Julianna Jaworska,Poland,6.33,UMi,1999-06-19
HD 113263,Vera Palastri ,Indonesia,8.67,Cha,1999-06-26
HD 55049,Jia Li Chung,China,8.53,Lyn,1999-06-28
HD 225020,Maral Medrano,Peru,7.74,Cep,1999-06-29
HD 112607,Leonide Siciliano,Italy,8.1,Cen,1999-07-06
HD 203220,Yasmine Kuhlman ,USA,8.07,Peg,1999-07-07
HD 28989,Lyubov Agapova,Russia,8.23,Per,1999-07-10
HD 114315,Lloyd Kiwanuka ,Nigeria,9.14,Cen,1999-07-12
HD 117428,Naděžda Dočkalová,Czech Republic,8.92,Cen,1999-07-15
HD 204417,Marie Eberhardt,Germany,8.73,Peg,1999-07-17
HD 68775,Jessi Serné,Netherlands,8.56,Cnc,1999-07-29
HD 203641,Nitika Sridhar ,India,8.32,Mic,1999-08-03
HD 34907,Stella Olvera,Mexico,7.46,Ori,1999-08-05
HD 146497,Claudia Vogt ,Switzerland,8.9,Sco,1999-08-09
HD 61219,Eduarda Souza,Portugal,6.18,Gem,1999-08-10
HD 14254,Anaynostes Moraΐte ,Greece,8.67,Cet,1999-08-11
HD 36740,Corinne Tobler ,Switzerland,8.59,Ori,1999-08-14
HD 56820,Brice Dietrich ,USA,6.36,Cam,1999-08-15
HD 98078,Ayah Sarraf,Iran,8.27,Leo,1999-08-21
HD 94113,Simone Nacht,Germany,9.5,Car,1999-08-22
HD 17,Lina Noël ,Belgium,6.88,And,1999-08-24
HD 154610,Ruby Hart,USA,6.38,Oph,1999-08-29
HD 125321,Afra Acevedo,Spain,9.27,Boo,1999-08-30
HD 4627,Halimah Ghannam,UAE,5.92,Psc,1999-08-31
HD 130304,Eawinda Salas,Spain,8.03,Boo,1999-09-01
HD 92781,Isobel Iqbal,USA,8.33,Vel,1999-09-03
HD 71060,Magda Arana,Uruguay,7.73,Vel,1999-09-12
HD 203028,Zsuska Berecz,Hungary,8.33,Cyg,1999-09-14
HD 10959,Sintiques Barrientos,Mexico,9.46,For,1999-09-17
HD 88875,Sabrina Nagel,Germany,8.21,Vel,1999-09-18
HD 133350,Ivett Fábián,Hungary,8.99,Boo,1999-09-20
HD 47506,Neera Lucciano,Italy,8.31,Aur,1999-09-21
HD 148973,Let Casillas,Spain,9.58,Nor,1999-09-25
HD 995,Lời Liễu,Vietnam,6.68,And,1999-09-28
HD 102898,Georgia Doherty,New Zealand,8.07,Vir,1999-10-02
HD 100317,Ronda Arellano,Mexico,7.36,Hya,1999-10-05
HD 109902,Eufrosina Udinese,Italy,7.71,Cen,1999-10-08
HD 32130,Pavlo Іvanchyenko ,Ukraine,8.69,Ori,1999-10-12
HD 93875,Erno Ludwig,Netherlands,5.57,UMa,1999-10-15
HD 158230,Tony Palmer ,United Kingdom,8.55,Oph,1999-10-19
HD 108603,Florian Larson ,USA,8.63,Cen,1999-10-29
HD 225133,Raina Maryati ,Indonesia,8.29,Phe,1999-10-30
HD 61216,Charlie Hayward,USA,8.37,Car,1999-11-03
HD 72052,Evelyn Souza,Brazil,8.22,Cnc,1999-11-06
HD 92335,Max Potter,USA,7.58,Car,1999-11-08
HD 118018,Fayruz Attia,UAE,7.76,UMi,1999-11-10
HD 173998,Annett Farber,Austria,8.37,Dra,1999-11-11
HD 43918,Eudosia Escalante,Mexico,8.94,Car,1999-11-12
HD 124157,Mathilde Chevalier ,France,8.47,Boo,1999-11-15
HD 119267,Kai Dias,Portugal,8.07,Cen,1999-11-18
HD 59374,Tegan Atkinson,USA,8.48,Gem,1999-11-20
HD 49594,Yvette Gurule,Uruguay,8.13,Car,1999-11-24
HD 224597,Nazar Mіroshnichyenko ,Ukraine,8.69,Phe,1999-11-26
HD 143312,Sofіya Kramaryenko ,Ukraine,8.53,CrB,1999-11-28
HD 89578,Abdul-Muhsi Kassis,Iran,7.99,Sex,1999-11-30
HD 93064,Gisel Covarrubias,Spain,6.63,Hya,1999-12-02
HD 191588,Yeojin Wi ,South Korea,8.22,Cyg,1999-12-05
